20
  4.7115 
  5.6585 
  5.6958 
  6.3489 
  6.9597 
  7.0119 
  7.2587 
  7.2794 
  7.2989 
  7.4061 
  7.7195 
  7.7545 
  7.8854 
  7.9106 
  7.9316 
  8.0496 
  8.0772 
  8.1086 
  8.1602 
  8.1926 
      1   0.448826D-02  0.428728D+00  0.414997D-01
      2  -0.178108D+01 -0.167529D+02  0.826217D+00
      3   0.999807D+01 -0.132814D+01 -0.153916D+02
      1  -0.345941D+02 -0.167873D+02  0.117192D+02
      2  -0.258729D+02 -0.216366D+02 -0.782373D+02
      3  -0.220563D-01 -0.381030D+01 -0.363935D+02
      1  -0.959735D+00  0.182746D+02  0.240248D+02
      2   0.600035D+01  0.716155D+01 -0.940157D+01
      3  -0.508720D+01  0.602470D+01  0.219987D+02
      1  -0.297069D+01  0.228087D+03 -0.637254D+03
      2   0.144603D+02 -0.273036D+02  0.322560D+03
      3  -0.195205D+02 -0.175272D+03  0.108995D+03
      1  -0.584979D+01  0.219923D+01 -0.201509D+01
      2   0.108187D+02 -0.972203D+01 -0.700644D+01
      3  -0.812711D+00 -0.350771D+01 -0.751786D+01
      1  -0.566764D+00  0.180066D+00  0.955946D+00
      2   0.135294D+02  0.233403D+02 -0.385106D+02
      3   0.131262D+02  0.147951D+02 -0.329065D+02
      1  -0.269431D+02 -0.347074D+01  0.431018D+02
      2  -0.274243D+02  0.138836D+02 -0.133570D+01
      3  -0.468078D+01  0.508704D+01 -0.728147D+01
      1   0.218883D+02  0.707793D+01 -0.504094D+02
      2  -0.616205D+02  0.302269D+02 -0.135692D+02
      3  -0.208959D+02  0.901537D+00  0.243810D+02
      1  -0.531653D+01 -0.422024D+01 -0.624858D+01
      2  -0.668785D+01 -0.125472D+02 -0.634314D+01
      3  -0.570327D+01 -0.505862D+01 -0.659175D+01
      1  -0.203565D+02 -0.996483D+01  0.172034D+03
      2  -0.950855D+02  0.634463D+02  0.593718D+02
      3  -0.282765D+02  0.183162D+02  0.213870D+02
      1   0.380253D+01  0.957226D+01 -0.165821D+02
      2   0.152321D+02 -0.196237D+02  0.611242D+01
      3   0.932844D+01 -0.925941D+01  0.291498D+00
      1   0.407613D+02 -0.297689D+02  0.668713D+01
      2   0.237572D+02 -0.311082D+02  0.131536D+02
      3   0.354529D+02 -0.167585D+02 -0.328715D+00
      1  -0.360673D+02 -0.850646D+01  0.572161D+02
      2  -0.850406D+01  0.290041D+01 -0.466151D+02
      3  -0.839736D+01  0.162279D+01 -0.308237D+02
      1   0.367188D+01  0.244735D+01  0.179959D+02
      2  -0.840074D+00 -0.571530D+00 -0.980065D+01
      3  -0.115170D+01 -0.776352D+00 -0.991661D+01
      1  -0.610752D+02  0.772535D+02  0.161031D+03
      2   0.219021D+02  0.103863D+02 -0.337766D+02
      3  -0.152924D+02 -0.416847D+02  0.191437D+01
      1   0.100794D+03 -0.821105D+02 -0.117661D+03
      2   0.446126D+02 -0.116099D+01  0.756096D+02
      3  -0.168524D+02  0.173272D+02  0.327328D+02
      1   0.276242D+02 -0.800091D+02 -0.171829D+02
      2  -0.442531D+02  0.106240D+03  0.542931D+01
      3   0.952914D+01  0.269377D+02  0.490203D+02
      1  -0.128504D+02  0.697521D+01  0.259215D+01
      2   0.601492D+01 -0.202605D+01 -0.193677D+01
      3   0.454002D+01  0.386325D+00 -0.258050D+01
      1  -0.305349D+02  0.283886D+02  0.476147D+02
      2   0.111484D+02 -0.487520D+00 -0.444339D+02
      3   0.720722D+01  0.635100D+01 -0.469813D+02
      1  -0.343664D+02 -0.187924D+02 -0.301103D+02
      2   0.108197D+01 -0.136716D+02  0.157973D+01
      3  -0.324051D+01 -0.586256D+01 -0.265801D+01
